商品コード,商品名,管理区分(0:製番、1:MRP、2:ロット),手配区分（0：発注、2：外製、3：内製）,商品グループコード (商品グループ2),商品グループコード (商品グループ3),購入単価1,購入単価2,購入単価3,購入単価4,購入単価5,購入単価2適用数,手配単位,手配単位倍数,最低ロット数,手配ロット数,標準販売単価1,標準販売単価2,標準販売単価3,標準販売単価4,標準販売単価5,標準販売単価6,標準販売単価7,標準販売単価8,標準販売単価9,標準販売単価10,在庫評価単価(JPY),管理単位,支給単価(JPY),安全在庫数,所要量計算に含める(0：含める、1:含めない),仕様,リードタイム(日),安全リードタイム(日),棚番,入数,受注対象(0:対象、1:非対象、2:受注/EDI対象),ダミー商品（「1」:yes、それ以外: no）,商品備考1,商品備考2,商品備考3,商品備考4,商品備考5,サイズ *,色 *,部品区分 *,分類1 *,分類2 *,分類3 *,分類4 *,分類5 *,分類6 *,分類7 *,分類8 *,奉行商品コード *,品番 *,分類9 *,分類10 *,分類11 *,分類12 *,分類20 *,代表分類 *,トムソン型管理番号 *,最小梱包数量 *,JIS規格品 *,廃番日 *,商品画像,商品画像ファイル名,商品画像2,商品画像2ファイル名,商品画像3,商品画像3ファイル名,登録日時,登録者,最終更新日時,最終更新者,理論在庫数,有効在庫数,出庫可能数,出庫可能数2,次回入庫予定日,次回入庫予定数,最終入庫日,最終出庫日,子商品の数,商品グループ名 (商品グループ2),カテゴリ (商品グループ2)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）,商品グループ名 (商品グループ3),カテゴリ (商品グループ3)（0：(すべて)、1：商品グループ1、2：商品グループ2、3：商品グループ3、4：商品グループ4、5：商品グループ5）
B0-0000000001-W700,新社名シール上貼り,1,2,,,1.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1.0,枚,0,0,0,,0,0,,1,0,,,,,,,,,内職,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,,,9.0,10.0,11.0,12.0,20.0,上記,,,-,,,,,,,,2025/6/4 20:22,wakasugi,2026/6/28 1:09,wakasugi,50311.0,61681.0,50311.0,55007.0,2026/7/9,1200.0,2026/7/6,2026/5/19,,,,,
B0-0000000A20-W200,A-20下アゴ,1,2,,,6.0,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,本,0,0,0,,7,0,,1,0,,,,,,,,,内職,1.0,,,,,,,,,,,,,,,1,,,-,,,,,,,,2024/5/9 16:01,GEN,2026/6/28 1:09,wakasugi,0.0,0.0,0.0,0.0,,,,,5.0,,,,
B0-0000000A20-W201,A-20下アゴテープカット品,1,2,,,0.5,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,本,0,0,0,,7,0,,1,0,,,,,,,,,外注,1.0,,,,,,,,,,,,,,,1,,,-,,,,,,,,2024/5/9 16:01,GEN,2026/6/28 0:37,wakasugi,0.0,0.0,0.0,0.0,,,,,2.0,,,,
B0-0000000E39-W200,E-39下アゴ,1,2,,,14.3,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,本,0,0,0,,7,0,,1,0,,,,,,,,,外注,1.0,,,,,,,,,,,,,,,1,,,-,,,,,,,,2024/5/9 16:02,GEN,2026/6/28 0:37,wakasugi,0.0,0.0,0.0,0.0,,,,,9.0,,,,
B0-0000002100-0001,ホイッスルプラスチック小(黒),1,2,,,11.5,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,0,0,,7,0,,1,0,,,,,,,,,出荷形態,,,,,,,,,70021.0,21,,,11.0,,,11,,,-,,phpg7tc1all0ng232IM7xZ.png,B0-0000002100-0001.png,,,,,2024/6/27 21:03,seizou,2026/4/6 13:00,hara,-672.0,-672.0,-672.0,-672.0,,,,2025/10/24,6.0,,,,
B0-0000002100-V888,21バーコード,1,3,,,0.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,0,0,,1,0,,,,,,,,,内製,,,,,,,,,,,,,11.0,,,,,,-,,,,,,,,2024/6/28 10:32,seizou,2026/3/23 11:55,wakasugi,0.0,0.0,0.0,0.0,,,,,1.0,,,,
B0-0000002200-0001,ホイッスルプラスチック大(黒),1,2,,,11.5,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,0,0,,7,0,,1,0,,,,,,,,,出荷形態,,,,,,,,,70022.0,22,,,11.0,,,11,,,-,,php0822jvopltq842bXSkO.png,B0-0000002200-0001.png,,,,,2024/6/27 21:03,seizou,2026/4/6 13:01,hara,-1320.0,-1320.0,-1320.0,-1320.0,,,,2025/10/24,6.0,,,,
B0-0000002200-V888,22バーコード,1,3,,,0.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,0,0,,1,0,,,,,,,,,内製,,,,,,,,,,,,,11.0,,,,,,-,,,,,,,,2024/6/28 10:17,seizou,2026/3/23 11:55,wakasugi,0.0,0.0,0.0,0.0,,,,,1.0,,,,
B0-0000002300-0001,ホイッスル(メタル),1,2,,,13.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,0,0,,7,0,,1,0,,,,,,,,,出荷形態,,,,,,,,,70023.0,23,,,11.0,,,11,,,-,,phpocm0uqas637l6lscPsG.png,B0-0000002300-0001.png,,,,,2024/6/27 21:03,seizou,2026/4/6 13:02,hara,-1680.0,-1680.0,-1680.0,-1680.0,,,2025/4/4,2025/10/29,6.0,,,,
B0-0000002300-V888,23バーコード,1,3,,,0.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,0,0,,1,0,,,,,,,,,内製,,,,,,,,,,,,,11.0,,,,,,-,,,,,,,,2024/6/28 10:17,seizou,2026/3/23 11:55,wakasugi,0.0,0.0,0.0,0.0,,,,,1.0,,,,
B0-0000002400-0001,ホイッスル長管(メタル),1,2,,,13.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,0,0,,7,0,,1,0,,,,,,,,,出荷形態,,,,,,,,,70024.0,24,,,11.0,,,11,,,-,,php7gmsi1fqbh3vepzFhxg.png,B0-0000002400-0001.png,,,,,2024/6/27 21:03,seizou,2026/4/6 13:03,hara,-240.0,-240.0,-240.0,-240.0,,,,2025/5/2,6.0,,,,
B0-0000002400-V888,24バーコード,1,3,,,0.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,0,0,,1,0,,,,,,,,,内製,,,,,,,,,,,,,11.0,,,,,,-,,,,,,,,2024/6/28 10:17,seizou,2026/3/23 11:56,wakasugi,0.0,0.0,0.0,0.0,,,,,1.0,,,,
B0-0000002500-0001,ホイッスルプラスチック大(白),1,2,,,11.5,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,0,0,,7,0,,1,0,,,,,,,,,出荷形態,,,,,,,,,70025.0,25,,,11.0,,,11,,,-,,phpg9dgt33rphf0avE5mRt.png,B0-0000002500-0001.png,,,,,2024/6/27 21:03,seizou,2026/4/6 13:04,hara,1591.0,1591.0,1591.0,1591.0,,,,,6.0,,,,
B0-0000002500-V888,25バーコード,1,3,,,0.0,0.0,0,0,0,,,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,0,0,,1,0,,,,,,,,,内製,,,,,,,,,,,,,11.0,,,,,,-,,,,,,,,2024/6/28 10:17,seizou,2026/3/23 11:55,wakasugi,0.0,0.0,0.0,0.0,,,,,1.0,,,,
B0-00000032GR-0001,綿製ローラーベルト,1,2,IG240628,,8.0,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,19,0,,3,0,,1,0,,,,,,,,緑,出荷形態,,2.0,,,,,,,2324.0,32,,,,,,2,,12,-,,php4mkin608s8lb6Kp0k9m.png,B0-00000032GR-0001.png,,,,,2024/5/10 15:07,GEN,2026/7/1 11:46,nakano,67.0,67.0,67.0,67.0,,,2026/4/8,,7.0,ベルト班,2.0,,
B0-00000032GR-V400,32先止め加工品緑,1,3,,,114.78,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,本,0,0,0,,1,0,,1,0,,,,,,,,緑,内製,,2.0,,,,,,,,,,,,,,,,,-,,,,,,,,2024/5/10 15:07,GEN,2026/7/1 11:43,nakano,0.0,0.0,0.0,0.0,,,2026/4/8,2026/4/8,2.0,,,,
B0-00000032GR-V402,No.32ベルトヘッダーシール貼り付け品,1,3,,,8.72,0.0,0,0,0,,枚,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,0,,1,0,,1,0,,,,,,,,緑,内製,,2.0,,,,,,,,,,,,,,,,,-,,,,,,,,2024/5/10 15:07,GEN,2026/7/1 11:24,nakano,0.0,0.0,0.0,0.0,,,2026/6/1,2026/6/8,2.0,,,,
B0-00000032GR-V888,32緑バーコード,1,3,,,0.0,0.0,0,0,0,,枚,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,枚,0,0,1,,1,0,,1,0,,,,,,,,,内製,,2.0,,,,,,,,,,,,,,,,,-,,,,,,,,2024/5/10 15:07,GEN,2026/7/1 11:24,nakano,337.68,337.68,337.68,337.68,,,,2026/4/8,1.0,,,,
B0-00000032GY-0001,綿製ローラーベルト,1,2,IG240628,,8.0,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,個,0,92,0,,3,0,,1,0,,,,,,,,グレー,出荷形態,,2.0,,,,,,,2323.0,32,,,,,,2,,12,-,,phpov8i2ovb7um53o7CujY.png,B0-00000032GY-0001.png,,,,,2024/5/10 15:07,GEN,2026/7/1 11:46,nakano,333.0,333.0,333.0,333.0,,,2026/4/13,,7.0,ベルト班,2.0,,
B0-00000032GY-V400,32先止め加工品グレー,1,3,,,114.78,0.0,0,0,0,,本,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,本,0,0,0,,1,0,,1,0,,,,,,,,グレー,内製,,2.0,,,,,,,,,,,,,,,,,-,,,,,,,,2024/5/10 15:07,GEN,2026/7/1 11:44,nakano,0.0,0.0,0.0,0.0,,,2026/4/22,2026/4/27,2.0,,,,
