file,帳票,行,列,濃さ,推定,label
mask_test_r01_c1.png,mask_test,1,2ヶ月,43.2,空欄,
mask_test_r01_c2.png,mask_test,1,4ヶ月,0.0,空欄,
mask_test_r01_c3.png,mask_test,1,8ヶ月,0.0,空欄,
mask_test_r01_c4.png,mask_test,1,1年,185.7,◎,
mask_test_r01_c5.png,mask_test,1,1年4ヶ月,203.2,空欄,
mask_test_r01_c6.png,mask_test,1,1年8ヶ月,0.0,空欄,
mask_test_r01_c7.png,mask_test,1,2年,0.0,空欄,
mask_test_r02_c1.png,mask_test,2,2ヶ月,181.4,在庫なし,
mask_test_r02_c2.png,mask_test,2,4ヶ月,186.9,◎,
mask_test_r02_c3.png,mask_test,2,8ヶ月,185.1,◎,
mask_test_r02_c4.png,mask_test,2,1年,181.9,◎,
mask_test_r02_c5.png,mask_test,2,1年4ヶ月,183.3,在庫なし,
mask_test_r02_c6.png,mask_test,2,1年8ヶ月,186.1,◎,
mask_test_r02_c7.png,mask_test,2,2年,180.1,◎,
mask_test_r03_c1.png,mask_test,3,2ヶ月,35.9,○,×
mask_test_r03_c2.png,mask_test,3,4ヶ月,41.8,在庫なし,在庫なし
mask_test_r03_c3.png,mask_test,3,8ヶ月,0.0,空欄,空欄
mask_test_r03_c4.png,mask_test,3,1年,0.0,空欄,空欄
mask_test_r03_c5.png,mask_test,3,1年4ヶ月,32.6,空欄,空欄
mask_test_r03_c6.png,mask_test,3,1年8ヶ月,0.0,空欄,空欄
mask_test_r03_c7.png,mask_test,3,2年,0.0,空欄,空欄
mask_test_r04_c1.png,mask_test,4,2ヶ月,36.4,○,×
mask_test_r04_c2.png,mask_test,4,4ヶ月,43.5,在庫なし,在庫なし
mask_test_r04_c3.png,mask_test,4,8ヶ月,0.0,空欄,空欄
mask_test_r04_c4.png,mask_test,4,1年,0.0,空欄,空欄
mask_test_r04_c5.png,mask_test,4,1年4ヶ月,28.0,空欄,空欄
mask_test_r04_c6.png,mask_test,4,1年8ヶ月,0.0,空欄,空欄
mask_test_r04_c7.png,mask_test,4,2年,0.0,空欄,空欄
mask_test_r05_c1.png,mask_test,5,2ヶ月,40.3,○,×
mask_test_r05_c2.png,mask_test,5,4ヶ月,43.9,在庫なし,在庫なし
mask_test_r05_c3.png,mask_test,5,8ヶ月,0.0,空欄,空欄
mask_test_r05_c4.png,mask_test,5,1年,0.0,空欄,空欄
mask_test_r05_c5.png,mask_test,5,1年4ヶ月,0.0,空欄,空欄
mask_test_r05_c6.png,mask_test,5,1年8ヶ月,0.0,空欄,空欄
mask_test_r05_c7.png,mask_test,5,2年,0.0,空欄,空欄
mask_test_r06_c1.png,mask_test,6,2ヶ月,37.0,×,×
mask_test_r06_c2.png,mask_test,6,4ヶ月,0.0,空欄,空欄
mask_test_r06_c3.png,mask_test,6,8ヶ月,0.0,空欄,空欄
mask_test_r06_c4.png,mask_test,6,1年,0.0,空欄,空欄
mask_test_r06_c5.png,mask_test,6,1年4ヶ月,0.0,空欄,空欄
mask_test_r06_c6.png,mask_test,6,1年8ヶ月,0.0,空欄,空欄
mask_test_r06_c7.png,mask_test,6,2年,0.0,空欄,空欄
mask_test_r07_c1.png,mask_test,7,2ヶ月,42.0,×,○
mask_test_r07_c2.png,mask_test,7,4ヶ月,0.0,空欄,空欄
mask_test_r07_c3.png,mask_test,7,8ヶ月,0.0,空欄,空欄
mask_test_r07_c4.png,mask_test,7,1年,0.0,空欄,空欄
mask_test_r07_c5.png,mask_test,7,1年4ヶ月,0.0,空欄,空欄
mask_test_r07_c6.png,mask_test,7,1年8ヶ月,0.0,空欄,空欄
mask_test_r07_c7.png,mask_test,7,2年,0.0,空欄,空欄
mask_test_r08_c1.png,mask_test,8,2ヶ月,0.0,空欄,空欄
mask_test_r08_c2.png,mask_test,8,4ヶ月,0.0,空欄,空欄
mask_test_r08_c3.png,mask_test,8,8ヶ月,0.0,空欄,空欄
