file,帳票,行,列,濃さ,予測,確信度,現在のlabel
scanned_document_109_p01_r03_c1.png,scanned_document_109_p01,3,2ヶ月,104.3,○,,×
scanned_document_109_p02_r25_c1.png,scanned_document_109_p02,25,2ヶ月,120.7,空欄,,—
scanned_document_109_p02_r26_c1.png,scanned_document_109_p02,26,2ヶ月,96.4,—,,×
scanned_document_109_p02_r38_c1.png,scanned_document_109_p02,38,2ヶ月,105.0,空欄,,—
scanned_document_109_p04_r10_c1.png,scanned_document_109_p04,10,2ヶ月,131.7,—,,空欄
scanned_document_109_p04_r22_c1.png,scanned_document_109_p04,22,2ヶ月,149.6,—,,空欄
scanned_document_109_p04_r25_c1.png,scanned_document_109_p04,25,2ヶ月,145.9,×,,—
scanned_document_109_p04_r26_c3.png,scanned_document_109_p04,26,8ヶ月,37.2,空欄,,×
scanned_document_109_p04_r30_c1.png,scanned_document_109_p04,30,2ヶ月,125.9,—,,空欄
scanned_document_109_p04_r33_c1.png,scanned_document_109_p04,33,2ヶ月,131.7,○,,—
scanned_document_109_p04_r34_c1.png,scanned_document_109_p04,34,2ヶ月,127.4,—,,空欄
scanned_document_109_p05_r14_c1.png,scanned_document_109_p05,14,2ヶ月,130.9,—,,空欄
scanned_document_109_p05_r18_c1.png,scanned_document_109_p05,18,2ヶ月,141.0,空欄,,—
scanned_document_109_p06_r10_c1.png,scanned_document_109_p06,10,2ヶ月,126.1,空欄,,—
scanned_document_109_p06_r12_c1.png,scanned_document_109_p06,12,2ヶ月,137.5,—,,空欄
scanned_document_109_p06_r14_c1.png,scanned_document_109_p06,14,2ヶ月,116.9,—,,空欄
scanned_document_109_p07_r19_c1.png,scanned_document_109_p07,19,2ヶ月,63.7,○,,空欄
scanned_document_109_p07_r19_c2.png,scanned_document_109_p07,19,4ヶ月,66.6,空欄,,○
scanned_document_109_p07_r24_c1.png,scanned_document_109_p07,24,2ヶ月,73.2,空欄,,—
scanned_document_109_p07_r26_c1.png,scanned_document_109_p07,26,2ヶ月,64.1,—,,空欄
scanned_document_109_p08_r03_c1.png,scanned_document_109_p08,3,2ヶ月,52.7,○,,×
scanned_document_109_p08_r03_c7.png,scanned_document_109_p08,3,2年,29.0,—,,空欄
scanned_document_109_p08_r03_c2.png,scanned_document_109_p08,3,4ヶ月,68.7,○,,在庫なし
scanned_document_109_p08_r09_c1.png,scanned_document_109_p08,9,2ヶ月,72.2,—,,空欄
scanned_document_109_p08_r10_c1.png,scanned_document_109_p08,10,2ヶ月,65.7,—,,空欄
scanned_document_109_p08_r13_c1.png,scanned_document_109_p08,13,2ヶ月,65.1,空欄,,—
scanned_document_109_p08_r14_c1.png,scanned_document_109_p08,14,2ヶ月,60.2,空欄,,—
scanned_document_109_p08_r15_c3.png,scanned_document_109_p08,15,8ヶ月,91.2,在庫なし,,空欄
scanned_document_109_p08_r18_c1.png,scanned_document_109_p08,18,2ヶ月,62.4,—,,空欄
scanned_document_109_p08_r18_c3.png,scanned_document_109_p08,18,8ヶ月,57.5,空欄,,○
scanned_document_109_p08_r26_c1.png,scanned_document_109_p08,26,2ヶ月,54.9,空欄,,—
scanned_document_109_p08_r27_c1.png,scanned_document_109_p08,27,2ヶ月,67.5,空欄,,—
scanned_document_109_p08_r27_c7.png,scanned_document_109_p08,27,2年,29.2,空欄,,—
scanned_document_109_p08_r28_c1.png,scanned_document_109_p08,28,2ヶ月,73.6,—,,空欄
