file,帳票,行,列,濃さ,予測,確信度
scanned_document_109_p01_r02_c1.png,scanned_document_109_p01,2,2ヶ月,162.4,在庫なし,0.67
scanned_document_109_p01_r02_c6.png,scanned_document_109_p01,2,1年8ヶ月,164.9,在庫なし,0.66
scanned_document_109_p01_r02_c7.png,scanned_document_109_p01,2,2年,165.5,—,0.67
scanned_document_109_p01_r02_c2.png,scanned_document_109_p01,2,4ヶ月,167.9,—,0.67
scanned_document_109_p01_r02_c5.png,scanned_document_109_p01,2,1年4ヶ月,169.2,在庫なし,0.66
scanned_document_109_p01_r01_c4.png,scanned_document_109_p01,1,1年,169.5,在庫なし,0.66
scanned_document_109_p01_r02_c3.png,scanned_document_109_p01,2,8ヶ月,169.6,—,0.66
scanned_document_109_p01_r02_c4.png,scanned_document_109_p01,2,1年,170.0,—,0.67
scanned_document_109_p02_r42_c4.png,scanned_document_109_p02,42,1年,32.5,空欄,0.78
scanned_document_109_p02_r42_c3.png,scanned_document_109_p02,42,8ヶ月,34.7,空欄,0.78
scanned_document_109_p02_r26_c1.png,scanned_document_109_p02,26,2ヶ月,96.4,×,0.56
scanned_document_109_p02_r13_c1.png,scanned_document_109_p02,13,2ヶ月,96.7,空欄,0.67
scanned_document_109_p02_r23_c1.png,scanned_document_109_p02,23,2ヶ月,110.7,空欄,0.62
scanned_document_109_p02_r03_c1.png,scanned_document_109_p02,3,2ヶ月,114.8,×,0.72
scanned_document_109_p02_r30_c1.png,scanned_document_109_p02,30,2ヶ月,118.6,○,0.77
scanned_document_109_p02_r27_c1.png,scanned_document_109_p02,27,2ヶ月,119.8,×,0.77
scanned_document_109_p02_r02_c1.png,scanned_document_109_p02,2,2ヶ月,121.3,空欄,0.67
scanned_document_109_p02_r13_c4.png,scanned_document_109_p02,13,1年,122.1,×,0.34
scanned_document_109_p02_r23_c2.png,scanned_document_109_p02,23,4ヶ月,124.5,○,0.7
scanned_document_109_p02_r36_c2.png,scanned_document_109_p02,36,4ヶ月,124.7,○,0.77
scanned_document_109_p02_r28_c1.png,scanned_document_109_p02,28,2ヶ月,125.1,×,0.74
scanned_document_109_p02_r15_c2.png,scanned_document_109_p02,15,4ヶ月,125.8,×,0.79
scanned_document_109_p02_r13_c3.png,scanned_document_109_p02,13,8ヶ月,127.5,○,0.58
scanned_document_109_p02_r23_c3.png,scanned_document_109_p02,23,8ヶ月,127.6,空欄,0.67
